31345	11.036704	1.573996	3
11179	7.089240	0.841053	2
14335	5.606425	1.265420	2
47338	8.988714	0.074232	3
21159	7.136937	0.150829	3
5446	6.468163	0.558149	2
8852	2.599390	0.028427	2
10072	9.245073	1.449803	2
7548	4.282619	0.433269	2
3724	4.776250	0.453010	2
27872	10.892205	0.768108	3
29455	9.098446	1.645987	3
9735	1.618956	0.253474	2
30273	8.553485	1.279446	3
6770	4.464890	0.591916	2
29633	13.063304	0.878576	3
49945	4.718816	1.566629	1
43113	8.318033	0.441860	3
65891	7.808997	1.535259	1
58906	1.511200	1.259786	1
28580	9.625947	0.479086	3
4276	3.641119	0.867130	2
13767	6.049389	0.959620	2
28672	8.266131	1.229392	3
48191	5.332309	0.577297	1
2271	0.000000	1.026685	2
5510	0.000000	0.893035	2
71010	10.959468	0.335848	1
46752	0.737331	1.036823	1
38413	10.620896	0.048093	3
4905	4.507937	1.281029	2
79012	15.267025	1.621811	1
71923	11.794248	1.416396	1
10316	7.345563	1.348918	2
36169	3.245473	0.328609	1
37333	7.015799	0.464256	3
34868	12.085277	1.588429	3
44779	11.721715	1.251548	3
39312	0.640749	0.924637	1
38328	6.433042	0.293487	3
62348	4.059643	1.655760	1
35220	13.211636	0.478879	3
9975	7.920999	1.478397	2
15707	3.879950	0.374020	2
35492	1.341506	1.524585	1
78385	6.849793	0.869943	1
79977	13.195055	0.502802	1
78418	15.198209	1.642398	1
43446	9.756975	1.534854	3
21425	11.986980	0.907511	3
12164	0.055634	1.203473	2
24194	8.910236	0.875771	3
1799	0.517802	0.477071	2
44249	3.803879	0.584476	1
71533	11.736824	0.752097	1
31305	10.497398	1.456326	3
9792	5.739735	1.557213	2
17621	2.619102	0.097624	2
55196	6.161711	0.136674	3
32988	1.057359	0.581703	1
28956	10.218352	0.999277	3
52959	4.050019	1.685055	1
15523	0.000000	0.535331	2
73766	12.450698	0.298125	1
35922	3.352129	0.194093	1
49010	3.351689	0.400802	1
13038	3.250929	1.390079	2
11164	10.600305	0.009153	2
45163	9.749495	0.846495	3
33593	12.530673	1.160683	3
22113	7.125972	1.441670	3
39701	11.300139	1.172199	3
40140	11.399425	0.713243	3
21382	4.869048	0.932028	2
76684	9.539826	0.385290	1
8022	0.000000	1.692042	2
41088	8.017737	1.215112	3
66226	10.887591	1.055471	1
14444	2.566241	1.595653	2
73913	13.407245	0.990604	1
22238	4.161603	1.039408	1
12607	0.571685	0.681945	2
24393	8.336877	0.225099	3
32193	2.494115	0.961454	1
39047	9.753018	0.113337	3
12736	6.854040	0.676961	2
31644	10.607555	1.610615	3
60597	7.240430	1.451285	1
11516	0.000000	0.346584	2
25806	10.512161	0.310700	3
12019	2.264353	1.400039	2
49228	8.552514	0.866056	3
36486	12.277676	1.144113	3
5238	9.085871	0.734869	2
37334	9.601729	0.299529	3
40682	0.931797	0.999891	1
48021	5.507887	0.171437	1
44143	8.375324	0.871482	3
26042	12.450887	1.204176	3
38736	14.052305	0.459223	3
53239	3.671195	1.034124	1
75244	10.060865	1.574931	1
69214	3.337104	0.792483	1
11327	1.706779	0.021516	2
15152	1.453466	1.520191	2
27471	6.676124	1.178361	3
32215	1.319616	1.509238	1
7597	3.272368	1.343742	2
25116	7.749653	0.020840	3
54868	2.498509	1.639166	1
36556	2.625929	1.417452	1
15672	3.755049	0.626413	2
4200	2.367214	1.211099	2
72897	12.967888	1.360070	1
37722	8.885333	0.759559	3
25489	10.192263	1.154697	3
39124	7.458513	0.567172	3
70416	10.324996	1.597801	1
34211	2.907842	1.246941	1
29153	2.889244	1.266301	1
36034	8.460125	0.923503	3
30970	11.305335	1.461152	3
51352	11.373648	0.529144	3
41752	9.188313	1.250979	3
59550	10.646940	0.250340	1
13636	1.073712	0.952366	2
33428	12.382182	0.264963	3
41716	11.669417	0.531473	3
